satisfaction_level,left,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,Department,salary
0.45,1,0.54,2,135,3,0,0,sales,low
0.45,1,0.54,2,135,3,0,0,sales,low
0.44,0,0.42,4,159,4,0,0,technical,medium
0.21,0,0.85,5,153,3,0,0,hr,low
0.44,0,0.53,3,132,3,1,0,technical,low
0.45,1,0.5,2,126,3,0,0,technical,low
0.45,1,0.5,2,126,3,0,0,technical,low
0.45,1,0.5,2,126,3,0,0,technical,low
0.1,1,0.87,6,286,4,0,0,IT,medium
0.1,1,0.87,6,286,4,0,0,IT,medium
0.1,1,0.87,6,286,4,0,0,IT,medium
0.45,1,0.57,2,143,3,0,0,support,low
0.1,1,0.87,6,284,4,0,0,sales,medium
0.11,1,0.87,6,291,4,0,0,product_mng,low
0.46,1,0.53,2,147,3,0,0,sales,low
0.46,1,0.53,2,147,3,0,0,sales,low
0.44,0,0.63,3,162,2,0,0,RandD,low
0.46,1,0.49,2,138,3,0,0,support,low
0.46,1,0.49,2,138,3,0,0,support,low
0.46,1,0.49,2,138,3,0,0,support,low
0.2,0,0.98,3,180,6,0,0,sales,medium
0.2,0,0.98,3,180,6,0,0,sales,medium
0.49,0,0.52,3,225,2,0,0,technical,high
0.45,0,0.55,3,151,3,0,0,sales,medium
0.45,1,0.53,2,131,3,0,0,support,medium
0.48,0,0.61,3,251,3,0,0,support,medium
0.48,0,0.61,3,251,3,0,0,support,medium
0.43,0,0.71,3,186,2,0,0,accounting,medium
0.43,0,0.71,3,186,2,0,0,accounting,medium
0.5,0,0.48,3,246,3,0,0,RandD,medium
0.45,0,0.45,4,168,2,0,0,sales,low
0.11,1,0.86,6,254,4,0,0,sales,medium
0.11,1,0.87,6,280,4,0,0,technical,low
0.44,0,0.69,2,173,2,0,0,technical,medium
0.14,0,0.74,6,160,5,0,0,technical,medium
0.49,0,0.48,2,186,2,0,0,IT,medium
0.23,0,0.97,4,200,3,0,0,sales,low
0.23,0,0.96,4,242,6,0,0,marketing,medium
0.51,0,0.51,2,271,3,0,0,sales,medium
0.48,0,0.53,3,211,4,0,0,technical,low
0.48,0,0.53,3,211,4,0,0,technical,low
0.47,0,0.41,2,140,3,0,0,hr,medium
0.33,0,0.85,2,127,3,0,0,marketing,medium
0.2,0,0.8,6,251,5,0,0,accounting,medium
0.15,1,0.63,7,229,3,0,0,marketing,low
0.09,1,0.87,6,266,4,0,0,support,medium
0.09,1,0.86,6,245,4,0,0,sales,low
0.1,1,0.86,6,247,4,0,0,sales,medium
0.1,1,0.86,6,247,4,0,0,IT,medium
0.1,1,0.86,6,247,4,0,0,sales,medium
0.1,1,0.86,6,247,4,0,0,sales,medium
0.45,1,0.53,2,129,3,0,0,technical,high
0.45,1,0.53,2,129,3,0,0,technical,high
0.45,1,0.53,2,129,3,0,0,technical,high
0.49,0,0.58,3,265,3,0,0,support,low
0.45,0,0.75,2,246,2,0,0,product_mng,medium
0.11,1,0.87,6,273,4,0,0,sales,low
0.41,0,0.63,5,263,3,0,0,RandD,medium
0.34,0,0.52,6,265,6,0,0,sales,medium
0.11,1,0.87,6,272,4,0,0,sales,medium
0.45,1,0.54,2,131,3,0,0,sales,medium
0.46,1,0.53,2,143,3,1,0,technical,low
0.46,1,0.57,2,154,3,0,0,IT,low
0.46,1,0.57,2,154,3,0,0,IT,low
0.43,0,0.44,5,213,3,0,0,sales,low
0.45,1,0.57,2,138,3,0,0,hr,medium
0.11,1,0.86,6,245,4,0,0,support,low
0.23,0,0.88,5,238,6,0,0,RandD,medium
0.46,1,0.55,2,147,3,0,0,product_mng,medium
0.46,1,0.55,2,147,3,0,0,product_mng,medium
0.26,0,0.71,6,189,2,0,0,marketing,high
0.43,0,0.77,3,237,3,1,0,technical,low
0.46,1,0.54,2,144,3,0,0,sales,low
0.46,1,0.54,2,144,3,0,0,sales,low
0.46,1,0.54,2,144,3,0,0,sales,low
0.11,1,0.87,6,264,4,0,0,support,medium
0.45,1,0.54,2,129,3,0,0,marketing,high
0.45,1,0.54,2,129,3,0,0,technical,medium
0.45,1,0.54,2,129,3,0,0,marketing,high
0.45,1,0.54,2,129,3,0,0,technical,medium
0.45,1,0.54,2,129,3,0,0,marketing,high
0.45,1,0.54,2,129,3,0,0,technical,medium
0.44,0,0.65,2,151,3,0,0,RandD,medium
0.35,0,0.78,5,275,4,0,0,marketing,low
0.14,0,0.83,6,275,6,0,0,technical,low
0.46,1,0.57,2,152,3,0,0,support,low
0.46,1,0.57,2,152,3,0,0,support,low
0.46,1,0.57,2,152,3,0,0,support,low
0.24,0,0.82,5,179,6,0,0,technical,medium
0.46,1,0.54,2,143,3,0,0,sales,medium
0.46,1,0.54,2,143,3,0,0,sales,medium
0.19,0,0.9,5,172,2,0,0,support,low
0.4,0,0.72,3,139,2,0,0,support,medium
0.11,1,0.88,6,294,4,0,0,IT,medium
0.45,1,0.57,2,136,3,0,0,sales,low
0.1,1,0.88,6,284,4,0,0,sales,low
0.1,1,0.88,6,284,4,0,0,sales,low
0.1,1,0.88,6,284,4,0,0,sales,low
0.11,1,0.88,6,290,4,0,0,hr,low
0.5,0,0.5,3,237,2,0,0,technical,medium
0.46,1,0.55,2,145,3,0,0,technical,low
0.46,1,0.55,2,145,3,0,0,technical,low
0.2,0,0.9,5,228,6,0,0,sales,medium
0.11,1,0.87,6,257,4,0,0,support,medium
0.11,1,0.87,6,257,4,0,0,support,medium
0.46,1,0.48,2,129,3,0,0,sales,low
0.29,0,0.65,5,110,5,1,0,sales,low
0.14,0,0.95,4,144,5,0,0,marketing,low
0.49,0,0.57,2,213,3,1,0,product_mng,low
0.11,1,0.87,6,255,4,0,0,sales,low
0.11,1,0.87,6,255,4,0,0,sales,low
0.45,1,0.55,2,129,3,0,0,support,medium
0.11,1,0.87,6,254,4,0,0,hr,low
0.48,0,0.49,4,242,2,1,0,support,medium
0.1,1,0.87,6,250,4,0,0,sales,low
0.1,1,0.87,6,250,4,0,0,sales,low
0.1,1,0.87,6,250,4,0,0,sales,low
0.45,1,0.57,2,134,3,0,0,hr,low
0.45,1,0.57,2,134,3,0,0,sales,low
0.45,1,0.57,2,134,3,0,0,hr,low
0.45,1,0.57,2,134,3,0,0,sales,low
0.45,1,0.57,2,134,3,0,0,hr,low
0.45,1,0.57,2,134,3,0,0,sales,low
0.09,1,0.88,6,269,4,0,0,technical,medium
0.09,1,0.88,6,269,4,0,0,technical,medium
0.09,1,0.88,6,269,4,0,0,technical,medium
0.25,0,0.97,3,158,3,0,0,sales,low
0.1,1,0.87,6,248,4,0,0,sales,low
0.5,0,0.54,3,254,2,0,0,product_mng,low
0.32,0,0.4,6,162,5,0,0,technical,low
0.48,0,0.53,4,271,3,0,0,hr,low
0.24,0,0.76,6,213,4,0,0,support,medium
0.47,0,0.55,2,156,2,0,0,management,medium
0.4,0,0.48,4,97,2,0,0,IT,low
0.13,1,0.78,6,152,2,0,0,support,low
0.13,1,0.78,6,152,2,0,0,support,low
0.13,1,0.78,6,152,2,0,0,support,low
0.51,0,0.5,2,235,2,0,0,technical,medium
0.4,0,0.67,3,115,3,0,0,accounting,medium
0.36,0,0.82,4,218,5,0,0,RandD,low
0.19,0,0.85,6,259,3,1,0,support,low
0.49,0,0.47,4,285,3,0,0,RandD,low
0.24,0,0.78,5,131,5,0,0,sales,low
0.15,0,0.94,5,244,6,0,0,technical,high
0.24,0,0.96,3,174,6,0,0,support,low
0.46,1,0.54,2,138,3,0,0,product_mng,medium
0.1,1,0.88,6,263,4,0,0,marketing,low
0.34,0,0.92,3,206,3,0,0,RandD,medium
0.35,0,0.8,3,137,5,0,0,hr,low
0.18,0,0.86,6,264,3,0,0,technical,high
0.11,1,0.87,6,278,5,0,0,technical,low
0.44,0,0.66,3,162,2,0,0,sales,medium
0.4,0,0.47,5,173,5,0,0,technical,medium
0.4,0,0.47,5,173,5,0,0,technical,medium
0.48,0,0.54,3,190,3,0,0,technical,medium
0.11,1,0.89,6,309,4,0,0,support,medium
0.11,1,0.89,6,306,4,0,0,technical,low
0.11,1,0.89,6,306,4,0,0,technical,low
0.11,1,0.89,6,306,4,0,0,technical,low
0.46,1,0.57,2,145,3,0,0,sales,low
0.11,1,0.89,6,301,4,0,0,accounting,low
0.11,1,0.89,6,301,4,0,0,sales,medium
0.49,0,0.51,2,182,3,0,0,sales,low
0.09,1,0.89,6,282,4,0,0,support,low
0.09,1,0.89,6,282,4,0,0,support,low
0.49,0,0.48,3,190,2,0,0,technical,medium
0.33,0,0.82,2,114,5,0,0,technical,high
0.46,1,0.52,2,131,3,0,0,RandD,low
0.38,0,0.69,3,99,3,1,0,sales,high
0.48,0,0.61,3,223,3,1,0,support,medium
0.11,1,0.89,6,293,4,0,0,support,low
0.11,1,0.89,6,293,4,0,0,support,low
0.11,1,0.89,6,293,4,0,0,support,low
0.4,0,0.86,2,264,5,0,0,technical,medium
0.1,1,0.87,6,265,5,0,0,sales,medium
0.51,0,0.51,3,274,2,0,0,product_mng,medium
0.09,1,0.89,6,276,4,0,0,technical,low
0.09,1,0.89,6,276,4,0,0,technical,low
0.09,1,0.89,6,276,4,0,0,technical,low
0.1,1,0.89,6,280,4,0,0,product_mng,medium
0.44,0,0.61,3,147,4,0,0,RandD,low
0.15,0,0.92,5,164,3,0,0,sales,medium
0.11,1,0.89,6,284,4,0,0,RandD,low
0.49,0,0.56,3,221,3,1,0,IT,low
0.22,0,0.98,4,185,3,0,0,support,low
0.44,0,0.66,3,161,3,0,0,IT,medium
0.41,0,0.47,4,104,3,0,0,sales,low
0.11,1,0.88,6,253,4,0,0,support,low
0.36,0,0.66,4,97,2,0,0,sales,high
0.13,0,0.74,6,132,4,1,0,technical,medium
0.36,0,0.62,4,111,6,0,0,IT,low
0.29,0,0.91,4,183,4,0,0,RandD,low
0.29,0,0.91,4,183,4,0,0,RandD,low
0.51,0,0.51,3,272,3,0,0,sales,medium
0.52,0,0.41,3,283,3,0,0,IT,low
0.41,0,0.7,4,177,3,0,0,technical,medium
0.44,0,0.56,3,123,3,0,0,accounting,medium
0.1,1,0.87,6,254,5,0,0,support,low
0.11,1,0.89,6,272,4,0,0,product_mng,medium
0.15,0,0.98,2,96,2,0,0,sales,high
0.48,0,0.55,4,262,3,1,0,RandD,high
0.32,0,0.87,4,179,4,0,0,technical,medium
0.34,0,0.91,4,284,4,0,0,IT,low
0.19,1,1,4,192,4,0,0,accounting,low
0.19,1,1,4,192,4,0,0,accounting,low
0.19,1,1,4,192,4,0,0,accounting,low
0.48,0,0.56,4,271,3,0,0,technical,high
0.46,1,0.53,2,129,3,0,0,technical,low
0.24,0,0.88,5,199,5,1,0,sales,medium
0.24,0,0.88,5,199,5,1,0,sales,medium
0.11,1,0.89,6,268,4,0,0,IT,medium
0.11,1,0.89,6,268,4,0,0,IT,medium
0.09,1,0.9,6,295,4,0,0,accounting,low
0.44,0,0.38,4,128,2,0,0,support,low
0.46,1,0.57,2,139,3,0,0,sales,low
0.46,1,0.57,2,139,3,0,0,sales,low
0.46,1,0.57,2,139,3,0,0,sales,low
0.46,1,0.57,2,139,3,0,0,sales,low
0.46,1,0.57,2,139,3,0,0,sales,low
0.46,1,0.57,2,139,3,0,0,sales,low
0.5,0,0.49,3,214,3,0,0,technical,medium
0.47,0,0.56,4,226,3,0,0,marketing,low
0.47,0,0.56,4,226,3,0,0,marketing,low
0.48,0,0.59,2,179,2,0,0,technical,low
0.1,1,0.9,6,299,4,0,0,marketing,low
0.1,1,0.9,6,299,4,0,0,marketing,low
0.46,1,0.53,2,128,3,0,0,sales,medium
0.11,1,0.89,6,264,4,0,0,support,low
0.13,0,0.97,4,162,6,0,0,sales,low
0.13,0,0.97,4,162,6,0,0,sales,low
0.24,1,0.46,7,224,5,0,0,accounting,medium
0.24,1,0.46,7,224,5,0,0,accounting,medium
0.24,1,0.46,7,224,5,0,0,accounting,medium
0.09,1,0.9,6,287,4,0,0,technical,low
0.47,0,0.47,4,191,3,0,0,technical,medium
0.11,1,0.9,6,301,4,0,0,technical,low
0.11,1,0.9,6,301,4,0,0,technical,low
0.31,0,0.64,6,183,2,1,0,technical,low
0.39,0,0.52,2,102,8,0,0,technical,medium
0.39,0,0.52,2,102,8,0,0,technical,medium
0.44,0,0.54,3,115,3,0,0,IT,medium
0.5,0,0.56,3,263,4,0,0,hr,medium
0.19,0,1,4,188,4,1,0,marketing,medium
0.18,0,0.99,4,204,6,0,0,IT,low
0.48,0,0.58,3,194,3,0,0,technical,medium
0.48,0,0.58,3,194,3,0,0,technical,medium
0.16,0,0.98,5,284,5,0,0,IT,medium
0.52,0,0.53,2,286,3,0,0,sales,medium
0.48,0,0.47,3,160,3,0,0,product_mng,medium
0.27,1,0.54,7,278,3,0,0,technical,low
0.27,1,0.54,7,278,3,0,0,technical,low
0.27,1,0.54,7,278,3,0,0,technical,low
0.49,0,0.49,4,256,3,1,0,support,low
0.49,0,0.61,3,240,3,0,0,sales,medium
0.27,0,0.62,6,136,3,0,0,sales,high
0.11,1,0.89,6,254,4,0,0,technical,low
0.49,0,0.48,4,249,3,0,0,support,medium
0.44,0,0.4,3,120,6,0,0,technical,low
0.23,0,0.84,5,140,4,0,0,IT,low
0.23,1,0.99,4,204,4,1,0,accounting,low
0.49,0,0.52,4,267,2,0,0,technical,high
0.42,0,0.67,2,115,3,0,0,sales,high
0.49,0,0.48,4,247,3,0,0,RandD,medium
0.47,0,0.71,2,241,4,0,0,sales,low
0.46,1,0.55,2,129,3,0,0,sales,low
0.46,1,0.55,2,129,3,0,0,sales,low
0.46,1,0.55,2,129,3,0,0,sales,low
0.17,0,0.85,6,245,5,0,0,sales,medium
0.1,1,0.89,6,247,4,0,0,technical,low
0.1,1,0.89,6,247,4,0,0,technical,low
0.1,1,0.89,6,247,4,0,0,technical,low
0.11,1,0.89,6,250,4,0,0,RandD,low
0.45,0,0.42,4,140,2,0,0,sales,low
0.1,1,0.89,6,246,4,0,0,sales,low
0.23,0,0.94,5,242,4,0,0,support,medium
0.23,0,0.94,5,242,4,0,0,support,medium
0.46,0,0.53,3,135,2,0,0,management,low
0.39,0,0.45,3,100,8,1,0,product_mng,medium
0.39,0,0.45,3,100,8,1,0,product_mng,medium
0.5,0,0.59,3,260,3,0,0,IT,medium
0.26,0,0.81,5,139,4,0,0,product_mng,medium
0.1,1,0.89,6,244,4,1,0,support,low
0.22,0,0.9,4,106,2,0,0,sales,medium
0.5,0,0.6,3,270,3,1,0,management,medium
0.2,0,0.98,4,166,4,1,0,sales,medium
0.19,1,0.59,7,192,3,0,0,sales,low
0.19,1,0.59,7,192,3,0,0,sales,low
0.19,1,0.59,7,192,3,0,0,sales,low
0.46,0,0.55,3,139,2,0,0,sales,medium
0.2,0,0.74,6,148,4,0,0,marketing,low
0.34,0,0.69,6,283,2,0,0,RandD,low
0.43,0,0.39,5,198,5,0,0,RandD,medium
0.24,0,0.91,5,258,6,0,0,support,low
0.49,0,0.49,4,240,2,0,0,RandD,medium
0.41,0,0.75,4,199,3,0,0,sales,low
0.42,0,0.75,3,163,2,1,0,sales,low
0.11,1,0.9,6,264,4,0,0,technical,medium
0.11,1,0.9,6,264,4,0,0,technical,medium
0.11,1,0.9,6,264,4,0,0,technical,medium
0.11,1,0.9,6,263,4,0,0,IT,low
0.11,1,0.9,6,263,4,0,0,IT,low
0.11,1,0.9,6,263,4,0,0,IT,low
0.09,1,0.9,6,256,4,0,0,support,low
0.45,0,0.71,2,172,2,0,0,sales,low
0.43,1,0.55,4,134,3,0,0,marketing,low
0.11,1,0.91,6,308,4,1,0,IT,low
0.11,1,0.91,6,308,4,1,0,IT,low
0.11,1,0.91,6,308,4,1,0,IT,low
0.42,0,0.48,5,191,5,0,0,RandD,medium
0.47,0,0.57,3,162,3,1,0,sales,medium
0.48,1,0.57,4,270,4,0,0,technical,low
0.48,1,0.57,4,270,4,0,0,technical,low
0.48,1,0.57,4,270,4,0,0,technical,low
0.11,1,0.91,6,302,4,0,0,RandD,low
0.11,1,0.91,6,302,4,0,0,accounting,low
0.5,0,0.43,3,184,2,0,0,sales,medium
0.45,0,0.52,2,105,3,0,0,technical,low
0.1,1,0.91,6,287,4,0,0,technical,low
0.1,1,0.91,6,287,4,0,0,technical,low
0.1,1,0.91,6,287,4,0,0,technical,low
0.1,1,0.91,6,286,4,0,0,marketing,low
0.49,0,0.52,4,251,2,0,0,support,low
0.47,0,0.64,3,192,3,0,0,support,low
0.1,1,0.91,6,285,4,0,0,sales,medium
0.1,1,0.9,6,301,5,0,0,technical,low
0.45,0,0.48,5,287,5,0,0,support,medium
0.09,1,0.91,6,275,4,0,0,support,low
0.09,1,0.91,6,275,4,0,0,hr,medium
0.09,1,0.91,6,275,4,0,0,support,low
0.09,1,0.91,6,275,4,0,0,support,low
0.51,0,0.55,3,261,3,0,0,technical,low
0.38,0,0.64,5,160,3,0,0,support,high
0.49,0,0.6,3,214,2,0,0,sales,low
0.1,1,0.89,6,259,5,0,0,IT,medium
0.11,1,0.9,6,254,4,0,0,technical,low
0.11,1,0.9,6,254,4,0,0,technical,low
0.11,1,0.9,6,254,4,0,0,technical,low
0.11,1,0.9,6,253,4,0,0,sales,medium
0.11,1,0.9,6,253,4,0,0,sales,medium
0.49,0,0.55,2,173,3,0,0,technical,medium
0.45,0,0.55,5,268,2,0,0,technical,low
0.11,1,0.91,6,279,4,0,0,sales,low
0.17,0,0.93,5,183,5,0,0,accounting,high
0.3,0,0.88,5,245,4,0,0,hr,low
0.11,1,0.89,6,260,5,0,0,sales,low
0.11,1,0.89,6,260,5,0,0,sales,low
0.11,1,0.89,6,260,5,0,0,sales,low
0.11,1,0.91,6,278,4,0,0,marketing,low
0.11,1,0.91,6,278,4,0,0,support,medium
0.11,1,0.91,6,278,4,0,0,marketing,low
0.11,1,0.91,6,278,4,0,0,marketing,low
0.48,0,0.62,3,200,3,1,0,RandD,medium
0.23,0,0.94,4,142,4,0,0,sales,medium
0.25,0,0.76,6,182,3,0,0,accounting,low
0.19,0,0.95,5,193,3,0,0,product_mng,medium
0.32,0,0.95,2,184,5,0,0,hr,medium
0.11,1,0.91,6,272,4,0,0,accounting,low
0.42,0,0.69,3,126,2,0,0,sales,low
0.42,0,0.69,3,126,2,0,0,sales,low
0.32,0,0.66,5,116,5,1,0,technical,high
0.4,0,0.62,4,127,5,0,0,accounting,low
0.4,0,0.62,4,127,5,0,0,accounting,low
0.44,0,0.58,4,152,3,0,0,technical,low
0.49,0,0.37,4,216,4,0,0,technical,low
0.15,0,0.91,6,281,3,0,0,marketing,low
0.3,0,0.47,6,141,6,0,0,sales,low
0.5,0,0.48,4,269,3,0,0,IT,medium
0.5,0,0.52,2,178,2,0,0,support,medium
0.5,0,0.52,2,178,2,0,0,support,medium
0.51,0,0.53,3,237,3,0,0,hr,medium
0.47,0,0.6,4,263,5,0,0,RandD,low
0.1,1,0.9,6,272,5,0,0,RandD,low
0.24,0,0.94,4,146,4,0,0,product_mng,medium
0.33,0,0.95,4,280,3,0,0,accounting,medium
0.49,0,0.63,3,245,4,0,0,support,low
0.5,0,0.57,3,223,3,0,0,technical,low
0.24,0,0.7,6,153,5,1,0,marketing,low
0.11,1,0.92,6,305,4,0,0,technical,low
0.11,1,0.92,6,305,4,0,0,technical,low
0.11,1,0.92,6,305,4,0,0,technical,low
0.13,0,1,4,157,5,1,0,technical,low
0.23,0,0.88,5,156,4,0,0,sales,low
0.1,1,0.91,6,255,4,0,0,sales,medium
0.1,1,0.92,6,285,4,0,0,technical,low
0.48,0,0.56,2,151,3,0,0,hr,medium
0.5,0,0.57,3,219,3,0,0,sales,medium
0.49,0,0.57,3,192,3,0,0,technical,medium
0.49,0,0.57,3,192,3,0,0,technical,medium
0.46,0,0.63,2,177,6,0,0,RandD,medium
0.43,0,0.84,2,285,5,0,0,technical,low
0.5,0,0.4,3,180,4,0,0,sales,medium
0.44,0,0.41,3,125,7,0,0,sales,medium
0.44,0,0.41,3,125,7,0,0,sales,medium
0.49,0,0.54,4,247,3,1,0,sales,medium
0.17,0,0.88,6,226,3,1,0,technical,high
0.1,1,0.92,6,279,4,0,0,sales,medium
0.48,0,0.54,2,144,3,0,0,accounting,low
0.09,1,0.91,6,248,4,0,0,sales,low
0.17,0,0.83,6,195,5,0,0,support,high
0.48,0,0.38,3,134,3,0,0,product_mng,medium
0.16,0,0.88,6,218,3,0,0,support,low
0.44,0,0.81,3,248,2,0,0,accounting,medium
0.52,0,0.43,2,199,2,0,0,sales,medium
0.5,0,0.5,4,267,3,0,0,IT,medium
0.24,0,0.89,5,169,4,0,0,IT,low
0.11,1,0.92,6,281,4,0,0,sales,medium
0.11,1,0.92,6,281,4,0,0,sales,medium
0.22,0,0.78,6,206,6,0,0,RandD,low
0.51,0,0.53,3,223,2,1,0,accounting,low
0.19,0,0.92,5,193,6,0,0,technical,medium
0.5,0,0.53,3,207,4,0,0,sales,low
0.49,0,0.67,3,254,2,1,0,technical,medium
0.49,0,0.55,4,268,4,0,0,support,high
0.1,1,0.91,6,246,4,0,0,hr,medium
0.1,1,0.91,6,246,4,0,0,hr,medium
0.1,1,0.91,6,246,4,0,0,hr,medium
0.09,1,0.91,6,243,4,0,0,product_mng,high
0.48,0,0.7,3,251,3,0,0,IT,low
0.19,0,0.85,6,210,4,0,0,support,medium
0.51,0,0.43,3,204,4,0,0,product_mng,medium
0.19,0,0.91,5,145,3,0,0,management,low
0.38,0,0.68,5,211,6,0,0,technical,low
0.18,0,0.87,6,226,4,0,0,IT,high
0.47,0,0.53,4,181,3,0,0,technical,low
0.29,0,0.38,6,105,5,0,0,sales,low
0.18,0,0.99,4,160,5,0,0,accounting,low
0.09,1,0.93,6,308,4,0,0,RandD,low
0.47,0,0.43,3,120,3,0,0,sales,high
0.52,0,0.51,2,232,4,0,0,technical,high
0.11,1,0.92,6,269,4,0,0,accounting,medium
0.11,1,0.92,6,269,4,0,0,accounting,medium
0.42,0,0.73,4,208,5,0,0,accounting,low
0.09,1,0.92,6,261,4,0,0,IT,medium
0.51,0,0.58,2,218,2,1,0,technical,low
0.5,0,0.53,3,191,2,1,0,hr,low
0.09,1,0.93,6,296,4,0,0,technical,medium
0.09,1,0.93,6,296,4,0,0,technical,medium
0.5,0,0.5,3,184,3,1,0,support,low
0.1,1,0.93,6,307,4,0,0,sales,low
0.22,0,0.88,5,154,5,0,0,sales,low
0.21,1,0.58,7,203,5,0,0,support,medium
0.49,0,0.52,3,168,3,0,0,IT,medium
0.48,0,0.65,3,199,2,0,0,technical,low
0.1,1,0.93,6,299,4,0,0,technical,low
0.1,1,0.93,6,298,4,0,0,technical,medium
0.1,1,0.93,6,298,4,0,0,technical,medium
0.1,1,0.93,6,298,4,0,0,technical,medium
0.33,0,0.82,5,249,6,0,0,product_mng,low
0.39,0,0.91,2,212,2,0,0,management,high
0.39,0,0.91,2,212,2,0,0,management,high
0.5,0,0.64,3,257,2,1,0,accounting,high
0.5,0,0.64,3,257,2,1,0,accounting,high
0.5,0,0.49,3,180,3,1,0,marketing,low
0.23,0,0.84,5,131,5,0,0,sales,low
0.1,1,0.92,6,258,4,0,0,technical,low
0.1,1,0.92,6,258,4,0,0,technical,low
0.1,1,0.93,6,289,4,1,0,support,low
0.1,1,0.93,6,289,4,1,0,support,low
0.1,1,0.93,6,289,4,1,0,support,low
0.14,1,0.73,7,282,5,0,0,technical,low
0.09,1,0.92,6,303,5,0,0,sales,low
0.11,1,0.92,6,260,4,0,0,support,low
0.11,1,0.92,6,260,4,0,0,support,low
0.11,1,0.92,6,260,4,0,0,support,low
0.19,0,0.98,5,226,4,1,0,accounting,low
0.1,1,0.93,6,288,4,0,0,sales,medium
0.48,0,0.51,4,201,4,0,0,support,low
0.11,1,0.93,6,294,4,0,0,sales,medium
0.11,1,0.93,6,294,4,0,0,sales,medium
0.1,1,0.91,6,262,5,1,0,technical,low
0.32,0,0.42,6,114,3,0,0,product_mng,medium
0.09,1,0.93,6,279,4,0,0,technical,low
0.09,1,0.93,6,279,4,0,0,technical,low
0.36,0,0.56,6,242,6,0,0,support,medium
0.1,1,0.77,7,308,4,0,0,accounting,low
0.11,1,0.93,6,290,4,0,0,IT,medium
0.3,1,0.89,5,257,5,0,0,RandD,low
0.44,0,0.68,3,140,3,0,0,technical,low
0.46,0,0.69,2,159,2,0,0,sales,low
0.47,0,0.49,2,112,3,1,0,support,medium
0.3,0,0.97,3,171,4,1,0,management,medium
0.49,0,0.65,3,226,3,0,0,sales,medium
0.39,0,0.75,5,286,5,0,0,IT,low
0.13,0,0.95,5,149,2,0,0,technical,low
0.5,0,0.64,3,249,2,1,0,technical,low
0.11,1,0.93,6,282,4,0,0,sales,low
0.11,1,0.93,6,282,4,0,0,sales,low
0.11,1,0.93,6,282,4,0,0,sales,low
0.1,1,0.77,7,291,4,0,0,accounting,low
0.1,1,0.77,7,291,4,0,0,accounting,low
0.1,1,0.77,7,291,4,0,0,accounting,low
